system,case_family,case_id,dr_mode,dr_energy_hours,dr_avail_hours_et,dr_fraction,borrow_mw,neue_ppm,eue_mean_mwh,eue_stderr_mwh,is_anchor,ref_base_neue_ppm,reduction,frac_of_achievable,frac_of_dc_penalty_recovered,marginal_return_per_fraction,marginal_return_per_mw,cumulative_return_per_mw
pjm,shed_8h_all,shed_8h_all_0.80,shed,8.0,"[12,13,14,15,16,17,18,19]",0.8,8132.0,25.006510120937023,419474.398,1886.293561797547,False,1.0517002801340658,34.82795802851075,0.9819651911359423,0.5924858473139701,6.016460212866329,0.0005921712807939306,0.004282828090077564
pjm,shed_8h_all,shed_8h_all_0.90,shed,8.0,"[12,13,14,15,16,17,18,19]",0.9,9150.0,24.612720823092967,412868.737,1816.6131177158472,False,1.0517002801340658,35.2217473263548,0.9930679776618757,0.5991849074657398,3.9378929784405523,0.0003868264222436691,0.0038493712924977923
pjm,shed_8h_all,shed_8h_all_1.00,shed,8.0,"[12,13,14,15,16,17,18,19]",1.0,10167.0,24.366858561147,408744.494,1763.9845166000662,False,1.0517002801340658,35.467609588300775,1.0,0.6033674642057113,2.458622619459661,0.0002417524699567021,0.0034885029594079646
pjm,shift_16h_all,baseline_with_load_added,shift,16.0,[],0.0,0.0,59.83446814944777,1003699.7319999998,3093.621392387507,True,1.0517002801340658,0.0,0.0,0.0,,,
pjm,shift_16h_all,shift_16h_all_0.05,shift,16.0,[],0.05,507.0,53.13795251096832,891368.309,3138.2625165138866,False,1.0517002801340658,6.696515638479454,0.20136253144712543,0.11391970608405508,133.93031276958908,0.01320811763013699,0.01320811763013699
pjm,shift_16h_all,shift_16h_all_0.10,shift,16.0,[],0.1,1017.0,47.59216548024804,798339.9070000001,3079.327103137708,False,1.0517002801340658,12.24230266919973,0.368122944721698,0.20826346075463664,110.91574061440554,0.010874092217098582,0.012037662408259322
pjm,shift_16h_all,shift_16h_all_0.20,shift,16.0,[],0.2,2035.0,39.72825115715965,666425.829,3007.1393472324226,False,1.0517002801340658,20.106216992288125,0.604588859335756,0.3420427060697179,78.63914323088395,0.007724866722090761,0.009880204910215296
pjm,shift_16h_all,shift_16h_all_0.30,shift,16.0,[],0.3,3051.0,34.765255280591575,583173.52,2968.74355510232,False,1.0517002801340658,25.069212868856198,0.7538248900148858,0.42647214102932784,49.62995876568074,0.004884838461189048,0.008216720048789315
pjm,shift_16h_all,shift_16h_all_0.40,shift,16.0,[],0.4,4067.0,31.650407777872356,530923.175,2939.667999263568,False,1.0517002801340658,28.184060371575416,0.8474875665589695,0.47946126719031723,31.148475027192173,0.003065794786140963,0.006929938620992234
pjm,shift_16h_all,shift_16h_all_0.50,shift,16.0,[],0.5,5081.0,29.730316261188044,498714.393,2918.0463534518167,False,1.0517002801340658,30.10415188825973,0.9052242328019374,0.5121254575012103,19.200915166843128,0.0018935813774007026,0.005924847842601797
pjm,shift_16h_all,shift_16h_all_0.60,shift,16.0,[],0.6,6100.0,28.546980870082795,478864.406,2898.9900634222568,False,1.0517002801340658,31.287487279364978,0.9408068287022185,0.5322561086086242,11.833353911052493,0.0011612712375910197,0.0051290962753057345
pjm,shift_16h_all,shift_16h_all_0.70,shift,16.0,[],0.7,7116.0,27.814047665494112,466569.73900000006,2886.7498655708387,False,1.0517002801340658,32.02042048395366,0.9628459447776857,0.5447246130897017,7.329332045886831,0.00072139094939831,0.0044997780331581866
pjm,shift_16h_all,shift_16h_all_0.80,shift,16.0,[],0.8,8132.0,27.285209844529387,457698.692,2869.830118920736,False,1.0517002801340658,32.54925830491838,0.9787479642910185,0.553721090120869,5.288378209647244,0.000520509666303863,0.004002614154564483
pjm,shift_16h_all,shift_16h_all_0.90,shift,16.0,[],0.9,9150.0,26.879109379514585,450886.516,2846.592277237218,False,1.0517002801340658,32.955358769933184,0.9909593025558543,0.5606295852417121,4.061004650148022,0.0003989199066943046,0.0036016785540910583
pjm,shift_16h_all,shift_16h_all_1.00,shift,16.0,[],1.0,10167.0,26.57845179747888,445843.103,2817.4038837956514,False,1.0517002801340658,33.256016351968896,1.0,0.5657443083643819,3.0065758203570434,0.00029563184074307203,0.0032709763304779086
pjm,shift_4h_all,baseline_with_load_added,shift,4.0,[],0.0,0.0,59.83446814944777,1003699.7319999998,3093.621392387507,True,1.0517002801340658,0.0,0.0,0.0,,,
pjm,shift_4h_all,shift_4h_all_0.05,shift,4.0,[],0.05,507.0,54.86219229432543,920291.755,3178.9705122480664,False,1.0517002801340658,4.972275855122341,0.24597970178527226,0.08458730398978051,99.44551710244681,0.009807250207341895,0.009807250207341895
pjm,shift_4h_all,shift_4h_all_0.10,shift,4.0,[],0.1,1017.0,50.80474552171213,852229.6769999999,3151.0193704462667,False,1.0517002801340658,9.029722627735644,0.44670258527309503,0.15361172933895512,81.14893545226607,0.007955777985516282,0.008878783311441145
pjm,shift_4h_all,shift_4h_all_0.20,shift,4.0,[],0.2,2035.0,45.4683147427932,762713.144,3122.682697069275,False,1.0517002801340658,14.366153406654576,0.7106971201386449,0.24439395978415845,53.36430778918931,0.00524207345669836,0.007059534843564902
pjm,shift_4h_all,shift_4h_all_0.30,shift,4.0,[],0.3,3051.0,42.62040182786317,714940.522,3103.4426514731185,False,1.0517002801340658,17.214066321584603,0.8515840680748185,0.292842051259904,28.479129149300284,0.002803063892647665,0.005642106300093282
pjm,shift_4h_all,shift_4h_all_0.40,shift,4.0,[],0.4,4067.0,41.1259787449512,689872.1610000001,3093.178584110896,False,1.0517002801340658,18.708489404496575,0.9255135432259249,0.3182648603088822,14.944230829119713,0.0014708888611338305,0.00460007115920742
pjm,shift_4h_all,shift_4h_all_0.50,shift,4.0,[],0.5,5081.0,40.38534759582212,677448.3640000001,3093.2862781297786,False,1.0517002801340658,19.449120553625654,0.9621527471848075,0.33086432059247506,7.406311491290795,0.000730405472513885,0.0038278135315145943
pjm,shift_4h_all,shift_4h_all_0.60,shift,4.0,[],0.6,6100.0,40.00215568438797,671020.47,3096.791277294973,False,1.0517002801340658,19.8323124650598,0.981109344696186,0.33738310025058954,3.831919114341461,0.0003760470180904279,0.003251198764763902
pjm,shift_4h_all,shift_4h_all_0.70,shift,4.0,[],0.7,7116.0,39.80559114750723,667723.1769999999,3099.3480352388974,False,1.0517002801340658,20.028877001940543,0.9908334403763714,0.3407270145303279,1.9656453688074298,0.00019346903236293597,0.0028146257731788285
pjm,shift_4h_all,shift_4h_all_0.80,shift,4.0,[],0.8,8132.0,39.7214205354344,666311.248,3105.681259312188,False,1.0517002801340658,20.113047614013375,0.9949973811270499,0.3421589071601537,0.8417061207283175,8.284509062286598e-05,0.0024733211527316005
pjm,shift_4h_all,shift_4h_all_0.90,shift,4.0,[],0.9,9150.0,39.678811908665786,665596.505,3108.065391703832,False,1.0517002801340658,20.155656240781987,0.9971052403069114,0.34288375609655186,0.4260862676861167,4.185523258213326e-05,0.0022028039607412007
