case_id,neue_ppm_registry,eue_mean_mwh_registry,neue_ppm_cases_csv,eue_mean_mwh_cases_csv,neue_abs_diff,mismatch
shift_4h_all_0.40,41.1259787449512,689872.1610000001,41.1259787449512,689872.1610000001,0.0,False
shift_4h_all_0.50,40.38534759582212,677448.3640000001,40.38534759582212,677448.3640000001,0.0,False
shift_4h_all_0.60,40.00215568438797,671020.47,40.00215568438797,671020.47,0.0,False
shift_4h_all_0.70,39.80559114750723,667723.1769999999,39.80559114750723,667723.1769999999,0.0,False
shift_4h_all_0.80,39.7214205354344,666311.248,39.7214205354344,666311.248,0.0,False
shift_4h_all_0.90,39.678811908665786,665596.505,39.678811908665786,665596.505,0.0,False
shift_4h_all_1.00,39.62029674004065,664614.936,39.62029674004065,664614.936,0.0,False
shift_8h_all_0.05,53.366275048306825,895198.3300000001,53.366275048306825,895198.3300000001,0.0,False
shift_8h_all_0.10,48.01299046245935,805399.0809999999,48.01299046245935,805399.0809999999,0.0,False
shift_8h_all_0.20,40.501853151799345,679402.699,40.50185315179935,679402.699,7.105427357601002e-15,False
shift_8h_all_0.30,35.88011360097062,601874.831,35.88011360097062,601874.831,0.0,False
shift_8h_all_0.40,33.074743200980066,554815.843,33.074743200980066,554815.843,0.0,False
shift_8h_all_0.50,31.415009903697154,526974.4679999999,31.415009903697158,526974.4679999999,3.552713678800501e-15,False
shift_8h_all_0.60,30.44629824971494,510724.71,30.44629824971494,510724.71,0.0,False
shift_8h_all_0.70,29.875877697804384,501156.1289999999,29.875877697804384,501156.1289999999,0.0,False
shift_8h_all_0.80,29.516414865844585,495126.2809999999,29.516414865844585,495126.2809999999,0.0,False
shift_8h_all_0.90,29.264798788277552,490905.52,29.264798788277552,490905.52,0.0,False
shift_8h_all_1.00,29.091111626901142,487991.9859999999,29.091111626901142,487991.9859999999,0.0,False
